Cre ID,Gene number
Cre01.g038450,834
Cre01.g038500,835
Cre01.g038550,836
Cre01.g038600,837
Cre01.g038650,838
Cre01.g038700,839
Cre01.g038750,840
Cre01.g038800,841
Cre01.g038850,842
Cre01.g038900,843
Cre01.g038950,844
Cre01.g039000,845
Cre01.g039050,846
Cre01.g039101,847
Cre01.g039150,848
Cre01.g039200,849
Cre01.g039250,850
Cre01.g039300,851
Cre01.g039350,852
Cre01.g039400,853
Cre01.g039450,854
Cre01.g039500,855
Cre01.g039550,856
Cre01.g039600,857
Cre01.g039626,858
Cre01.g039650,859
Cre01.g039702,860
Cre01.g039750,861
Cre01.g039800,862
Cre01.g039850,863
Cre01.g039900,864
Cre01.g039950,865
Cre01.g040000,866
Cre01.g040050,867
Cre01.g040100,868
Cre01.g040150,869
Cre01.g040200,870
Cre01.g040250,871
Cre01.g040300,872
Cre01.g040350,873
Cre01.g040379,874
Cre01.g040400,875
Cre01.g040450,876
Cre01.g040476,877
Cre01.g040500,878
Cre01.g040517,879
Cre01.g040533,880
Cre01.g040550,881
Cre01.g040600,882
Cre01.g040650,883
Cre01.g040701,884
Cre01.g040750,885
Cre01.g040801,886
Cre01.g040850,887
Cre01.g040900,888
Cre01.g040950,889
Cre01.g041000,890
Cre01.g041050,891
Cre01.g041100,892
Cre01.g041150,893
Cre01.g041200,894
Cre01.g041256,895
Cre01.g041300,896
Cre01.g041351,897
Cre01.g041400,898
Cre01.g041426,899
Cre01.g041450,900
Cre01.g041500,901
Cre01.g041550,902
Cre01.g041583,903
Cre01.g041650,904
Cre01.g041667,905
Cre01.g041700,906
Cre01.g041752,907
Cre01.g041800,908
Cre01.g041850,909
Cre01.g041855,910
Cre01.g041900,911
Cre01.g041950,912
Cre01.g042000,913
Cre01.g042050,914
Cre01.g042100,915
Cre01.g042150,916
Cre01.g042200,917
Cre01.g042250,918
Cre01.g042300,919
Cre01.g042352,920
Cre01.g042402,921
Cre01.g042450,922
Cre01.g042502,923
Cre01.g042550,924
Cre01.g042600,925
Cre01.g042650,926
Cre01.g042700,927
Cre01.g042750,928
Cre01.g042800,929
Cre01.g042850,930
Cre01.g042900,931
Cre01.g042950,932
Cre01.g043000,933
Cre01.g043050,934
Cre01.g043100,935
Cre01.g043150,936
Cre01.g043200,937
Cre01.g043250,938
Cre01.g043300,939
Cre01.g043350,940
Cre01.g043400,941
Cre01.g043450,942
Cre01.g043500,943
Cre01.g043550,944
Cre01.g043600,945
Cre01.g043650,946
Cre01.g043700,947
Cre01.g043750,948
Cre01.g043800,949
Cre01.g043817,950
Cre01.g043850,951
Cre01.g043901,952
Cre01.g043950,953
Cre01.g044000,954
Cre01.g044050,955
Cre01.g044100,956
Cre01.g044150,957
Cre01.g044200,958
Cre01.g044250,959
Cre01.g044276,960
Cre01.g044300,961
Cre01.g044350,962
Cre01.g044400,963
Cre01.g044450,964
Cre01.g044550,965
Cre01.g044600,966
Cre01.g044650,967
Cre01.g044700,968
Cre01.g044750,969
Cre01.g044800,970
Cre01.g044850,971
Cre01.g044900,972
Cre01.g044950,973
Cre01.g045000,974
Cre01.g045050,975
Cre01.g045100,976
Cre01.g045150,977
Cre01.g045200,978
Cre01.g045350,979
Cre01.g045400,980
Cre01.g045426,981
Cre01.g045450,982
Cre01.g045500,983
Cre01.g045550,984
Cre01.g045600,985
Cre01.g045601,986
Cre01.g045640,987
Cre01.g045650,988
Cre01.g045700,989
Cre01.g045752,990
Cre01.g045800,991
Cre01.g045825,992
Cre01.g045850,993
Cre01.g045902,994
Cre01.g045903,995
Cre01.g045950,996
Cre01.g046052,997
Cre01.g046150,998
Cre01.g046237,999
Cre01.g046250,1000
Cre01.g046324,1001
Cre01.g046450,1002
Cre01.g046500,1003
Cre01.g046501,1004
Cre01.g046502,1005
Cre01.g046600,1006
Cre01.g046650,1007
Cre01.g046652,1008
Cre01.g046800,1009
Cre01.g046850,1010
Cre01.g046950,1011
Cre01.g047001,1012
Cre01.g047050,1013
Cre01.g047100,1014
Cre01.g047200,1015
Cre01.g047218,1016
Cre01.g047229,1017
Cre01.g047265,1018
Cre01.g047300,1019
Cre01.g047350,1020
Cre01.g047400,1021
Cre01.g047450,1022
Cre01.g047500,1023
Cre01.g047550,1024
Cre01.g047600,1025
Cre01.g047650,1026
Cre01.g047700,1027
Cre01.g047750,1028
Cre01.g047800,1029
Cre01.g047850,1030
Cre01.g047900,1031
Cre01.g047950,1032
Cre01.g048000,1033
Cre01.g048050,1034
Cre01.g048100,1035
Cre01.g048102,1036
Cre01.g048150,1037
Cre01.g048200,1038
Cre01.g048250,1039
Cre01.g048300,1040
Cre01.g048350,1041
Cre01.g048400,1042
Cre01.g048450,1043
Cre01.g048501,1044
Cre01.g048550,1045
Cre01.g048600,1046
Cre01.g048650,1047
Cre01.g048701,1048
Cre01.g048750,1049
Cre01.g048800,1050
Cre01.g048850,1051
Cre01.g048900,1052
Cre01.g048950,1053
Cre01.g049000,1054
Cre01.g049050,1055
Cre01.g049100,1056
Cre01.g049117,1057
